,icao24
6369,7801af
9212,7801b5
12121,780160
16939,789247
21366,780a59
21645,780a64
23398,780217
24166,780a3e
25915,780abd
26870,780a9b
31639,789245
38596,780a3c
40353,780abb
41120,780a37
43651,780a89
43666,78012b
43953,780a94
44010,780a1c
46429,780a6e
51299,789218
55961,7801b0
56161,780a3b
65895,78019c
70159,780212
71728,789201
73389,780a8b
79240,78022b
81031,780aa5
81928,780231
96114,780219
100143,78016d
103043,780173
105159,780a82
105716,78023d
107511,780ab7
115923,789219
116646,780202
117092,780a96
118011,780a57
122181,7801ca
124822,789230
125821,78021b
127845,780a3a
128706,780221
130712,7801b7
142922,780209
143199,780214
146420,780a8d
148692,7801dc
151787,780aac
152539,780a28
155318,780a0d
157342,7801c9
160342,780174
163119,789214
163189,78023e
169786,78018d
172532,780193
174706,780a2a
175286,780a58
184525,78018b
184588,780134
186656,780aa4
187121,7801cb
189980,780204
193517,7801ff
199132,780a18
201207,780aa2
205282,780236
209605,789204
212512,780a0e
223157,780170
231363,780a15
232084,789234
233814,780a67
235985,7801b6
246457,789232
248199,780a65
250550,7801b4
250741,780a3f
251021,780a4a
255859,780a19
257906,780aa3
259365,78023c
262247,7801c8
265449,780a3d
267227,780abc
267976,780a38
270714,780a95
270778,780a1d
275186,780a0a
276984,780235
277791,780a5c
280242,780171
280560,780a62
280814,780127
281101,780132
287889,780ac8
288086,780a16
298033,780177
298564,789202
302906,780a14
305347,780a66
306170,78022c
308158,780a4b
308717,780227
312230,780a2d
314902,780a8a
326477,78020a
327477,78016e
332334,780a0b
332877,780a39
334675,780ab8
337603,780a63
338190,780133
341615,780a9c
343696,780203
344154,780a97
344977,780172
349375,780ab6
349516,780a5b
350077,780237
351976,789231
352373,780a61
352946,78021c
352996,780a17
356961,780191
358354,780201
361304,780a6f
363421,78022d
364335,780aba
367736,78021a
370487,780220
373901,78015e
378650,780aad
379374,78022e
379421,780a29
381240,780aa8
384481,78016f
387233,780175
389446,780a0c
391717,780ab9
396361,78018e
396881,780232
402419,780129
408868,780a98
409212,780a2b
411015,780aaa
411147,780a70
411438,780135
413927,7801cc
414075,780192
416724,780205
420088,780218
428888,780190
431055,78015f
436921,780a35
448575,780a49
451161,789203
452946,780a36
454043,780233
